Carga Threads Tempo(s)
50 1 41.694775
50 2 21.475444
50 4 11.313813
50 6 11.508426
50 8 11.722998
50 10 11.740230
100 1 79.022735
100 2 40.586717
100 4 21.589761
100 6 23.086175
100 8 22.334744
100 10 23.447098
500 1 355.719665
500 2 183.739294
500 4 99.589456
500 6 104.947733
500 8 102.054487
500 10 103.889937
1000 1 689.254198
1000 2 358.484657
1000 4 189.700003
1000 6 193.325386
1000 8 198.986395
1000 10 198.861470
5000 1 3277.257079
5000 2 1696.523456
5000 4 907.347970
5000 6 928.795854
5000 8 952.953956
5000 10 954.014477
10000 1 6485.173189
10000 2 3356.228688
10000 4 1799.243350
10000 6 1863.014291
10000 8 1889.378110
10000 10 1888.939241
